,N,Mean,Std,Min,Max,Skewness,Kurtosis
Return,252,0.764363809563492,5.434445746805454,-23.13440051,19.94101501,-0.20938777087441376,1.9318657654089106
PER,252,14.840317460317461,4.44733268671318,7.37,32.6,1.583328447832289,3.40268833134635
Dividend Yield,252,1.6398809523809523,0.37849090379724676,1.02,2.73,0.556418614086157,-0.20911960505069338
BaseRate,252,2.5069444444444446,1.2032912157451043,0.5,5.25,0.3553485318138294,-0.5800296140248191
M2,252,2225007.3817460313,966789.4323422728,902992.8,4080672.2,0.4485982748678623,-1.0635722445932096
GDP G.R,252,0.7702380952380953,0.8940413319551653,-3.4,3.1,-1.697238575369822,6.971253580661216
CPI,252,94.70180555555555,11.758215880782787,73.594,117.57,0.06431481662198395,-0.6937560599450001
Long-term interest rate,252,3.443214285714286,1.3121304965415856,1.25,6.03,0.2328225801050941,-1.149341896317453
Foreign Net Buy,252,-157845.99206349207,3279942.6961863223,-14456161.0,7858311.0,-0.5983551205296317,1.8241427794247178
Institutional Net buy,252,23531.65873015873,2550401.802655927,-17382600.0,7860542.0,-1.3435338434297843,8.126644338784192
