,Return,PER,PBR,BaseRate,M2,GDP G.R,CPI,Long-term interest rate,Foreign Net Buy,Institutional Net buy,Bubble
Return,1.0,0.20670791858877022,0.17801414460659817,-0.04785300344761472,0.008970457623219222,0.1676312811049028,-0.015127234793009784,-0.007723603872311399,0.5348264944483571,-0.14969921089229715,
PER,0.20670791858877022,1.0,0.05313394811168934,-0.36172516998377374,0.2321718231028471,0.21587293059412552,0.20124887400934913,-0.2139254040953453,0.04337088909020607,-0.3834398988450076,
PBR,0.17801414460659817,0.05313394811168934,1.0,0.4954876861917769,-0.6541450951558054,0.41565426628808977,-0.6798815555424292,0.6333471013267508,-0.01918841832662179,0.15145494332835388,
BaseRate,-0.04785300344761472,-0.36172516998377374,0.4954876861917769,1.0,-0.38025752268652835,0.026023939411149638,-0.39595272151015437,0.7848251808779833,-0.06512088868283854,0.42188718385873414,
M2,0.008970457623219222,0.2321718231028471,-0.6541450951558054,-0.38025752268652835,1.0,-0.25493496366916235,0.971471675273779,-0.6006804727929842,-0.012725682895054624,-0.14868549429924646,
GDP G.R,0.1676312811049028,0.21587293059412552,0.41565426628808977,0.026023939411149638,-0.25493496366916235,1.0,-0.2745357044030123,0.1955867988285221,0.17600030199101355,-0.11123967611669065,
CPI,-0.015127234793009784,0.20124887400934913,-0.6798815555424292,-0.39595272151015437,0.971471675273779,-0.2745357044030123,1.0,-0.6412324985787962,0.02908760108933392,-0.1285946428642273,
Long-term interest rate,-0.007723603872311399,-0.2139254040953453,0.6333471013267508,0.7848251808779833,-0.6006804727929842,0.1955867988285221,-0.6412324985787962,1.0,0.006109331002185428,0.23653203420093027,
Foreign Net Buy,0.5348264944483571,0.04337088909020607,-0.01918841832662179,-0.06512088868283854,-0.012725682895054624,0.17600030199101355,0.02908760108933392,0.006109331002185428,1.0,-0.39671980648908417,
Institutional Net buy,-0.14969921089229715,-0.3834398988450076,0.15145494332835388,0.42188718385873414,-0.14868549429924646,-0.11123967611669065,-0.1285946428642273,0.23653203420093027,-0.39671980648908417,1.0,
Bubble,,,,,,,,,,,
